field name;type;description
cbas_created_month;DATE;CBAS created month
cbas_created_date;TIMESTAMP;CBAS created date
customer_id_lfs;STRING;Unique identifier of the customer
reference_number;STRING;Unique identifier used to retrieve CBAS features
appid;STRING;Unique identifier of applicant
id_number;STRING;Hashed ID number of customer
model_name;STRING;Name of the scoring model
model_version;STRING;Version of the scoring model
raw_prediction;FLOAT;Raw prediction value from the model
score;INTEGER;Scaled score value
calibrated_score;INTEGER;Calibrated score value
calibrated_score_bin;STRING;Bin range for calibrated score
flag_disbursed_loan;INTEGER;Whether the customer has disbursed loan
first_loan_start_date;DATE;First loan start date
raw_features;RECORD;
preprocessed_features;RECORD;
scoring_timestamp;TIMESTAMP;Timestamp when the scoring was performed
scoring_date;DATE;Date when scoring was performed
run_id;STRING;Unique ID for the scoring run
raw_features.cbas_source_ts_ms_date;TIMESTAMP;
raw_features.arrear_allcondition_max;FLOAT;
raw_features.arrear_tier1_digital_avg;FLOAT;
raw_features.arrear_tier2_traditional_max;FLOAT;
raw_features.balance_active_sum_over_plafond_active_sum;FLOAT;
raw_features.balance_active_unsecured_sum_over_plafond_active_sum;FLOAT;
raw_features.balance_all_sum_over_plafond_all_sum;FLOAT;
raw_features.balance_tenor_2to11_active_sum;FLOAT;
raw_features.balance_tenor_2to11_active_sum_over_balance_active_sum;FLOAT;
raw_features.balance_tenor_2to11_high_interest_active_sum;FLOAT;
raw_features.balance_tenor_2to11_high_interest_active_sum_over_balance_active_sum;FLOAT;
raw_features.balance_unsecured_sum_over_plafond_all_sum;FLOAT;
raw_features.dpd_active_openl3m_max;INTEGER;
raw_features.dpd_allcondition_unsecured_last_24months_max;INTEGER;
raw_features.dpd_multiguna_allcondition_last_12months_max;INTEGER;
raw_features.dpd_multiguna_paidoff_last_18months_max;INTEGER;
raw_features.dpd_nonbank_allcondition_last_18months_max;INTEGER;
raw_features.flags_tenor_2to11_low_interest_allcondition_count;INTEGER;
raw_features.flags_paid_on_time_count;INTEGER;
raw_features.flags_tier2_traditional_count_over_flags_allcondition_count;INTEGER;
raw_features.installment_5mio_10mio_plafond_sum;FLOAT;
raw_features.installment_active_unsecured_sum;FLOAT;
raw_features.installment_tenor_2to11_high_interest_active_sum_over_installment_active_sum;FLOAT;
raw_features.installment_tenor_2to11_high_interest_allcondition_avg;FLOAT;
raw_features.mob_active_max;INTEGER;
raw_features.mob_channeling_allcondition_max;INTEGER;
raw_features.utilization_rate_interest_rate_gt50_max;FLOAT;
raw_features.utilization_rate_top10_banks_min;FLOAT;
preprocessed_features.arrear_allcondition_max;FLOAT;
preprocessed_features.arrear_tier1_digital_avg;FLOAT;
preprocessed_features.arrear_tier2_traditional_max;FLOAT;
preprocessed_features.balance_active_sum_over_plafond_active_sum;FLOAT;
preprocessed_features.balance_active_unsecured_sum_over_plafond_active_sum;FLOAT;
preprocessed_features.balance_all_sum_over_plafond_all_sum;FLOAT;
preprocessed_features.balance_tenor_2to11_active_sum;FLOAT;
preprocessed_features.balance_tenor_2to11_active_sum_over_balance_active_sum;FLOAT;
preprocessed_features.balance_tenor_2to11_high_interest_active_sum;FLOAT;
preprocessed_features.balance_tenor_2to11_high_interest_active_sum_over_balance_active_sum;FLOAT;
preprocessed_features.balance_unsecured_sum_over_plafond_all_sum;FLOAT;
preprocessed_features.dpd_active_openl3m_max;INTEGER;
preprocessed_features.dpd_allcondition_unsecured_last_24months_max;INTEGER;
preprocessed_features.dpd_multiguna_allcondition_last_12months_max;INTEGER;
preprocessed_features.dpd_multiguna_paidoff_last_18months_max;INTEGER;
preprocessed_features.dpd_nonbank_allcondition_last_18months_max;INTEGER;
preprocessed_features.flags_tenor_2to11_low_interest_allcondition_count;INTEGER;
preprocessed_features.flags_paid_on_time_count;INTEGER;
preprocessed_features.flags_tier2_traditional_count_over_flags_allcondition_count;INTEGER;
preprocessed_features.installment_5mio_10mio_plafond_sum;FLOAT;
preprocessed_features.installment_active_unsecured_sum;FLOAT;
preprocessed_features.installment_tenor_2to11_high_interest_active_sum_over_installment_active_sum;FLOAT;
preprocessed_features.installment_tenor_2to11_high_interest_allcondition_avg;FLOAT;
preprocessed_features.mob_active_max;INTEGER;
preprocessed_features.mob_channeling_allcondition_max;INTEGER;
preprocessed_features.utilization_rate_interest_rate_gt50_max;FLOAT;
preprocessed_features.utilization_rate_top10_banks_min;FLOAT;
